output,feature,S1,S1_conf,ST,ST_conf
ET,T1,0.0067804097112397835,0.018267102104982044,0.09455697625009325,0.00996153828175024
ET,RRC1,-0.006955568046565011,0.008506336732286925,0.02607925951263233,0.0032062853323583094
ET,BRC1,0.32716605735451104,0.030917838498616877,0.39241940758104515,0.030537839335591403
ET,RRC2,0.09000753019978013,0.02221537746386429,0.1260325647028217,0.013500906056981418
ET,BRC2,0.008037973572957748,0.007558753753755075,0.013625897825901177,0.0020335911572568564
ET,RFF,0.42794150601890063,0.04418616224077705,0.5054178711835648,0.04215209199700088
M_CH3OH,T1,0.1927591341338341,0.030755107229140717,0.231827191668477,0.021647740182543746
M_CH3OH,RRC1,0.16748151026830127,0.030445303601776986,0.24071164205896037,0.019860216910464603
M_CH3OH,BRC1,0.208203867596562,0.029996862446759427,0.27239601976866257,0.02476009984551347
M_CH3OH,RRC2,0.0414064646272551,0.013666479266976036,0.06729947880734878,0.007529711584699666
M_CH3OH,BRC2,0.05565794862625786,0.018306851278868646,0.08215812763072974,0.009200936871627168
M_CH3OH,RFF,0.1972902374387186,0.03339967119899086,0.2322932826614555,0.016735968472605584
x_CH3OH,T1,0.006450716429806359,0.011299475411748902,0.027702179373973755,0.003910869063799073
x_CH3OH,RRC1,0.5076709291433456,0.05606910055097669,0.7677636316020223,0.0612404859652823
x_CH3OH,BRC1,0.1123771011457743,0.037605807875515956,0.34366015481383366,0.04538217119450887
x_CH3OH,RRC2,0.04795180867191593,0.023411218047684083,0.11416476848404732,0.014328105622646779
x_CH3OH,BRC2,0.03423584911632566,0.018692019026253382,0.10873890079450572,0.014685410039565564
x_CH3OH,RFF,0.001042305878159054,0.006275150067966896,0.01428463461208566,0.002872295567667367
